Organization,Number of Awards,Total Funding,Number of Researchers,Avg Funding per Award
"Board of Regents, NSHE, obo University of Nevada, Reno",10,7199905.0,12,719990.5
LIGHT RESEARCH INC,1,274524.0,1,274524.0
"OmnEcoil Instruments, Inc.",1,255787.0,1,255787.0
QUALITY EDUCATION FOR MINORITIES NETWORK,2,399855.0,3,199927.5
"BETA ANALYTIC, INC.",1,256000.0,1,256000.0
INA SOLUTIONS INC.,1,998332.0,3,998332.0
NEURX MEDICAL LIMITED LIABILITY COMPANY,1,256000.0,3,256000.0
Bowling Green State University,3,150000.0,3,50000.0
"JUST HEALTH CARE, LTD. CO.",1,256000.0,1,256000.0
Brandeis University,4,587050.0,4,146762.5
"JULIA JEAN, LLC",1,305000.0,1,305000.0
ICOSA COMPUTING,1,1419331.0,2,1419331.0
University of Maine Farmington,1,400000.0,3,400000.0
"Light Foundry, LLC",1,700000.0,1,700000.0
NOUVAI INC.,1,274915.0,1,274915.0
LIMAR AI INC,1,274904.0,1,274904.0
"IMAGINAG TECH, LLC",1,997350.0,1,997350.0
"PEARNETS, INC.",1,225000.0,1,225000.0
New Iridium,2,1224999.0,1,612499.5
Hawaii Pacific University,1,350000.0,2,350000.0
Milwaukee 7 Water Council,1,995943.0,1,995943.0
"TORRE SPACE AND POWER SYSTEMS, L.L.C.",2,1249288.0,2,624644.0
"THERMAQUIL, INC.",1,1000000.0,1,1000000.0
CRABLINE ROBOTICS LLC,1,275000.0,1,275000.0
"CAPIENDA BIOTECH, LLC",1,256000.0,1,256000.0
"ACTIVATE GLOBAL, INC.",2,34978985.0,3,17489492.5
Saratoga Energy Corporation,1,722669.0,2,722669.0
BLOCMOUNT LLC,1,255973.0,2,255973.0
"XMD DIAGNOSTICS, INC.",2,530594.0,2,265297.0
Mesur.io,1,744519.0,3,744519.0
University of Toledo,18,3178442.0,25,176580.11111111112
"INFINION TECHNOLOGY, INC.",1,304948.0,2,304948.0
THERMOCAP LABORATORIES INC,2,1420664.0,1,710332.0
"ROBIGO, INC.",2,1522237.0,1,761118.5
"EINO, INC.",1,1000000.0,1,1000000.0
TFWIRELESS INC.,2,1256000.0,1,628000.0
University of North Carolina at Chapel Hill,10,6277784.0,13,627778.4
NITRICITY INC.,1,256000.0,1,256000.0
CORESHELL TECHNOLOGIES INC,1,984237.0,1,984237.0
Saint John's University,5,750000.0,4,150000.0
University of Dayton,1,50000.0,1,50000.0
"ENGENIOUSAG, LLC",2,1223683.0,1,611841.5
YouV Labs,1,749923.0,1,749923.0
RADWAVE TECHNOLOGIES INC.,2,1229799.0,1,614899.5
"MuMEC, Inc.",1,750000.0,1,750000.0
Boston College,1,296162.0,1,296162.0
SUNY at Stony Brook,13,9149270.0,27,703790.0
"SEGMEDIX, CO.",1,305000.0,1,305000.0
"MetaRe,Inc",1,225000.0,1,225000.0
"ECOTUNE, INC.",2,1516906.0,1,758453.0
GRAIN WEEVIL CORPORATION,2,1250390.0,1,625195.0
FARMSENSE INC.,4,2519596.0,4,629899.0
"Akai Kaeru, LLC",1,749380.0,1,749380.0
University of New Hampshire,4,2794496.0,11,698624.0
CPR THERAPEUTICS INC.,2,1505999.0,2,752999.5
Hampton University,1,400000.0,3,400000.0
"PEARL STREET TECHNOLOGIES, INC.",1,749938.0,1,749938.0
Texas A&M Engineering Experiment Station,30,9926839.0,36,330894.63333333336
University of Missouri-Kansas City,3,2002872.0,5,667624.0
"LABRADOR SYSTEMS, INC.",1,255756.0,1,255756.0
Kompass Diagnostics Inc,1,304966.0,1,304966.0
"NORCON TECHNOLOGIES HOLDING, INC.",1,984268.0,1,984268.0
SEARS SCIENTIFIC CONSULTING LLC,1,255915.0,1,255915.0
"ALTECT, INC.",1,1000000.0,1,1000000.0
Texas A&M University,10,1896576.0,17,189657.6
North Dakota State University Fargo,3,29250000.0,12,9750000.0
"Respira Labs, Inc.",1,958275.0,1,958275.0
Northwestern University,10,34397679.0,26,3439767.9
Brown University,3,1549803.0,7,516601.0
"PIEZO THERAPEUTICS, INC.",1,304742.0,1,304742.0
EARTHSHOT Labs PBC,3,1409042.0,4,469680.6666666667
ADAXIUS CORP,1,256000.0,1,256000.0
"MEMBRANEX, LLC",2,1523465.0,3,761732.5
DENCODA LLC,1,274990.0,1,274990.0
"Via Separations, LLC",1,728413.0,1,728413.0
SPACE KINETIC CORP.,1,275000.0,1,275000.0
Sylvatex Inc.,1,749263.0,1,749263.0
TREES ROI LLC,1,274990.0,1,274990.0
NOVAURUM BIOSCIENCES INCORPORATED,1,305000.0,1,305000.0
"SEMERGYTECH, INC.",2,1275000.0,3,637500.0
BERKM INC,1,274424.0,1,274424.0
"SYNC, INC.",1,255988.0,1,255988.0
"Teaching It Right, LLC",1,749995.0,1,749995.0
"GEOFINANCIAL ANALYTICS, INC.",1,275000.0,1,275000.0
AEROMUTABLE CORPORATION,2,1225000.0,1,612500.0
REVA X-RAY SYSTEMS CORPORATION,1,274158.0,1,274158.0
"ONYX AEROSPACE, INC.",1,256000.0,1,256000.0
University of Pittsburgh,12,4142751.0,21,345229.25
Berkeley Brewing Science Inc.,1,750000.0,1,750000.0
BIOCOGNON LLC,1,273550.0,1,273550.0
BioHybrid Solutions LLC,1,742796.0,1,742796.0
RotoYe LLC,1,1000000.0,1,1000000.0
"NANO-PRODUCT ENGINEERING, LLC",1,255966.0,2,255966.0
National Bureau of Economic Research Inc,5,8728584.0,11,1745716.8
"Aerogel Technologies, LLC",1,224557.0,1,224557.0
NorthWest Arkansas Community College,1,400000.0,3,400000.0
JEEVA WIRELESS INC,1,749996.0,1,749996.0
ASIMICA LLC,1,274100.0,1,274100.0
DOMCAT TECHNOLOGIES LLC,1,255551.0,1,255551.0
California Institute of Technology,5,449969.0,7,89993.8
Montana State University,4,7100000.0,6,1775000.0
Dartmouth College,6,950000.0,5,158333.33333333334
ECOCLOSURE LLC,1,995534.0,2,995534.0
LISA FITZPATRICK & ASSOCIATES MD PC,2,1255904.0,1,627952.0
DMAG USA LLC,1,275000.0,1,275000.0
UNSPACE LLC,1,272050.0,1,272050.0
Florida Institute of Technology,2,1142743.0,3,571371.5
QAS.AI INC,2,1255439.0,3,627719.5
"LA LUCE CRISTALLINA, INC.",2,1485798.0,2,742899.0
"E-THERA, INC.",1,747837.0,1,747837.0
VitalFlo Inc.,1,750000.0,1,750000.0
"APPLIED OCEAN SCIENCES, LLC",2,1253953.0,2,626976.5
Saint Vincent College,1,368526.0,3,368526.0
ATOMOS 3D LLC,1,304994.0,1,304994.0
SENSATE ROBOTICS INC.,1,304917.0,1,304917.0
Worcester Polytechnic Institute,9,3679290.0,23,408810.0
MUUKLABS INC.,2,1227804.0,1,613902.0
"SONOVANCE, INC.",1,275000.0,3,275000.0
"Noria Water Technologies, Inc",1,255442.0,4,255442.0
Drexel University,7,750000.0,8,107142.85714285714
CIRCADIAN POSITIONING SYSTEMS INC,1,254740.0,1,254740.0
LASARRUS CLINIC AND RESEARCH CENTER,1,256000.0,2,256000.0
EDEN CONCEPTS LLC,1,256000.0,2,256000.0
"FORSEE, LLC",1,275000.0,1,275000.0
Urbanova,1,916490.0,2,916490.0
NEW HORIZON BIOTECH INC,1,256000.0,1,256000.0
FITOTO TECHNOLOGIES INC.,1,1555000.0,1,1555000.0
TENVOS INC.,1,275000.0,1,275000.0
University of Texas Medical Branch at Galveston,1,50000.0,1,50000.0
Sassafras Tech Collective,1,999999.0,1,999999.0
INTELLIGENT MEDICINE INC,1,255842.0,1,255842.0
Washington University,9,8599977.0,18,955553.0
Tennessee Technological University,4,628895.0,4,157223.75
SolMem LLC,1,256000.0,2,256000.0
PNEUMONIX MEDICAL INC.,2,1225000.0,2,612500.0
Levisonics Inc.,1,998857.0,3,998857.0
LIGHTWORKS METROLOGY LLC,1,225000.0,1,225000.0
OSO SEMICONDUCTOR INC.,1,274992.0,1,274992.0
Lepidext LLC,1,256000.0,1,256000.0
HENDTECH LLC,1,275000.0,1,275000.0
VOLTELA INC,2,1254960.0,1,627480.0
BENJAMIN FRANKLIN CUMMINGS INSTITUTE OF TECHNOLOGY,1,399996.0,2,399996.0
ATOLLA TECH LLC,1,999617.0,1,999617.0
"OFF-WORLD, INC.",2,1251550.0,2,625775.0
PICOLO LABS INC,1,255555.0,1,255555.0
H. Lee Moffitt Cancer Center and Research Institute Hospital Inc,2,299979.0,1,149989.5
CUNY New York City College of Technology,5,2503056.0,14,500611.2
University of Scranton,3,150000.0,2,50000.0
"OHIO STATE UNIVERSITY, THE",15,12053845.0,29,803589.6666666666
STEG AI CORPORATION,2,1225000.0,1,612500.0
Litterati Inc.,1,750000.0,1,750000.0
"LIRA, INC.",1,255997.0,3,255997.0
"LITERASEED, INC.",2,1253693.0,2,626846.5
Max Powers,1,255886.0,1,255886.0
DIANT PHARMA INC.,1,256000.0,1,256000.0
"HYPRLIFT, INC.",2,1255848.0,1,627924.0
The Children's Hospital of Philadelphia,2,249950.0,2,124975.0
"Strados Labs, Inc.",1,990118.0,1,990118.0
FRONTIER BIO CORP,1,255911.0,1,255911.0
Andrews University,1,399945.0,3,399945.0
"CRYPTYX BIOSCIENCE, INC.",2,1255109.0,4,627554.5
Xavier University of Louisiana,1,400000.0,2,400000.0
SUNY College at Oswego,1,400000.0,6,400000.0
PARAMIUM TECHNOLOGIES LLC,2,1255684.0,3,627842.0
Synopic Inc.,1,1000000.0,1,1000000.0
QUANTIREAL INC.,1,275000.0,1,275000.0
Systems Research and Consulting,1,275000.0,2,275000.0
HYDROPORE TECHNOLOGIES LLC,1,305000.0,2,305000.0
EPIXEGO INC.,2,1245989.0,1,622994.5
SweetSense Inc.,3,6397964.0,7,2132654.6666666665
"APOGEE SEMICONDUCTOR, INC.",2,1255552.0,2,627776.0
NEPTUNYA OCEAN POWER LLC,1,255052.0,1,255052.0
Koliber Biosciences Inc.,2,7133604.0,2,3566802.0
"IMMUNO NANO MED, INC",1,305000.0,2,305000.0
ViSUS LLC,2,1046086.0,1,523043.0
"Temblor, Inc.",1,750000.0,1,750000.0
"ILLUMINATE THERAPEUTICS, INC.",1,275000.0,2,275000.0
RESBONDS INTERNATIONAL CORPORATION,2,1244908.0,2,622454.0
GODWIT KEY COMPANY,2,1253954.0,1,626977.0
HISTONE THERAPEUTICS CORP.,1,273388.0,1,273388.0
"ETALYC, Inc.",1,963768.0,2,963768.0
SimInsights Inc,1,698868.0,1,698868.0
"BRAVE VIRTUAL WORLDS, INC.",1,273915.0,1,273915.0
"NanoSoft, LLC",1,744720.0,1,744720.0
"PROMEDIX, INC.",2,1400508.0,1,700254.0
University of California-San Francisco,14,8293887.0,23,592420.5
IMPACT ALLIES INC,2,1797632.0,3,898816.0
"LUDLUM MEASUREMENTS, INC.",1,674263.0,1,674263.0
University of Puerto Rico Mayaguez,4,954516.0,8,238629.0
FOLIA Materials Inc.,1,750000.0,1,750000.0
Duke University,5,3755430.0,13,751086.0
INTACT THERAPEUTICS,2,1224782.0,2,612391.0
Indrio Technologies,2,1256000.0,1,628000.0
"LILU, INC.",2,1255997.0,2,627998.5
BACTANA CORP.,1,256000.0,1,256000.0
"PEARL BIO, INC.",1,274462.0,2,274462.0
EDNA INC.,1,275000.0,1,275000.0
CARDIOPHI LLC,1,256000.0,1,256000.0
GLAIVE MEDICAL OPTICS INC,1,304998.0,1,304998.0
WINDSCAPEAI LLC,1,274330.0,1,274330.0
"SILVEC BIOLOGICS, INC.",2,1250929.0,3,625464.5
"NATIONAL CURRENCY TECHNOLOGIES, INC.",1,256000.0,1,256000.0
selfarray,1,740027.0,2,740027.0
Eduworks Corporation,2,5199078.0,6,2599539.0
"MEDFREE, INC.",1,275000.0,1,275000.0
University of Houston,10,3249604.0,23,324960.4
TAILORED ALLOYS LLC,1,224764.0,2,224764.0
MINNOWTECH LLC,1,999780.0,1,999780.0
Sustainable Road Engineering Inc,1,256000.0,2,256000.0
"IRIS LIGHT TECHNOLOGIES, INC.",2,1256000.0,2,628000.0
ROWBOT SYSTEMS LLC,2,1256000.0,1,628000.0
CURUVAR LLC,1,256000.0,1,256000.0
"INVERSAI, INC.",1,212153.0,2,212153.0
Nativus Inc,1,1000000.0,1,1000000.0
OWL AUTONOMOUS IMAGING INC,1,998319.0,1,998319.0
Pratt Institute,2,5748876.0,7,2874438.0
Wright State University,3,2299518.0,7,766506.0
"TRAVERA, INC.",1,1000000.0,1,1000000.0
"HIDALGA TECHNOLOGIES, LLC",1,304935.0,1,304935.0
"NELLONE THERAPEUTICS, INC.",1,242342.0,1,242342.0
"SHROOM-E CO., LLC",1,275000.0,1,275000.0
"TISSUEFORM, INC.",1,274822.0,1,274822.0
"M3SIM, LLC",2,1433387.0,2,716693.5
Terraferma Foods,1,650000.0,2,650000.0
IQInetics Technologies Inc.,2,1245116.0,1,622558.0
ARTIMUS ROBOTICS INC,1,955030.0,2,955030.0
ENVIVO BIO INC,1,972774.0,1,972774.0
SOUTH BEND WOODWORKS LLC,1,225000.0,2,225000.0
"ACATECHOL, INC.",1,274982.0,1,274982.0
Parametric Studio Inc.,1,737901.0,2,737901.0
AI LINEAR INC.,2,1502830.0,1,751415.0
"AIDAR HEALTH, INC",1,1000000.0,2,1000000.0
ROOTWORDS INC,1,271780.0,1,271780.0
CAL POLY HUMBOLDT SPONSORED PROGRAMS FOUNDATION,1,378437.0,3,378437.0
"Everix, Inc.",1,746372.0,1,746372.0
BEAMFEED LLC,1,305000.0,2,305000.0
Peraton Labs,1,749963.0,4,749963.0
TERECIRCUITS CORPORATION,1,993980.0,3,993980.0
INTELLERCE LLC,1,256000.0,1,256000.0
"ALTAY THERAPEUTICS, INC.",1,275000.0,1,275000.0
Cleveland State University,5,250000.0,5,50000.0
"WUI-GO, LLC",2,1506436.0,1,753218.0
RSTREAM RECYCLING INC,1,995163.0,1,995163.0
Clemson University,8,11774509.0,19,1471813.625
REVTERRA CORPORATION,2,1223500.0,2,611750.0
Cellulose Sciences International,1,225000.0,2,225000.0
Metal Oxide Technologies Inc.,1,255938.0,1,255938.0
NASUS MEDICAL INC.,2,1255903.0,1,627951.5
NEWHAPTICS CORP.,2,1210342.0,2,605171.0
"GUARDION, INC.",1,999687.0,1,999687.0
University of Texas at San Antonio,8,899820.0,12,112477.5
SOSTOS LLC,3,1816522.0,1,605507.3333333334
"TJB MEDICAL, INC.",1,256000.0,1,256000.0
PIKE ROBOTICS INC.,2,1498371.0,1,749185.5
RADMANTIS LLC,1,256000.0,1,256000.0
EXOPOWER INC.,1,251522.0,1,251522.0
"INFINIFLUIDICS, INC.",1,256000.0,1,256000.0
"AVICENATECH, CORP.",1,989153.0,1,989153.0
Himet Materials LLC,1,274972.0,2,274972.0
"SYNTHETIC VECTOR DESIGNS, LLC",1,274999.0,1,274999.0
TEXAS A&M UNIVERSITY - VICTORIA,1,50000.0,1,50000.0
Center for Open Science,1,1498214.0,1,1498214.0
The HDF Group,1,1500000.0,1,1500000.0
University of California-San Diego,25,11723511.0,40,468940.44
"VSORTS, INC",2,1149075.0,1,574537.5
CHITOVATE LLC,1,274956.0,1,274956.0
FALCON FUEL CELLS INC.,1,274310.0,1,274310.0
New York University Medical Center,5,5893451.0,11,1178690.2
"Novol, Inc",1,747626.0,1,747626.0
"AM BATTERIES, Inc.",1,256000.0,1,256000.0
Kentucky Science & Technology Corporation,2,1803770.0,3,901885.0
"INSILICA, LLC",2,1678654.0,1,839327.0
Millennial Materials and Devices Inc,1,729175.0,1,729175.0
"SLUICEBOX, INC.",1,274192.0,1,274192.0
University of Minnesota Duluth,3,479997.0,6,159999.0
"MOLECULAR INTERFACES, LLC",1,274953.0,1,274953.0
West Texas A&M University,3,450000.0,4,150000.0
KCORE ANALYTICS LLC,1,275000.0,2,275000.0
"INSU HEALTH DESIGN, INC.",2,1254527.0,1,627263.5
University of Massachusetts Lowell,9,3892808.0,24,432534.22222222225
SYZYGY OPTICS LLC,1,275000.0,2,275000.0
"TWO BEARS ENVIRONMENTAL CONSULTING, LLC",1,969123.0,1,969123.0
"Onda Vision Technologies, LLC",2,1194860.0,1,597430.0
CellDrop Inc,2,1255999.0,5,627999.5
CLIMATEAI INC,1,241820.0,1,241820.0
"Protein Dynamic Solutions, Inc.",1,750000.0,1,750000.0
"BIOMIMICRY DESIGN ALLIANCE, LLC",1,224297.0,1,224297.0
"DPX TECHNOLOGIES, LLC",1,254536.0,1,254536.0
"CIRCLE CONCRETE TECH, INC.",1,304856.0,1,304856.0
"Georgia State University Research Foundation, Inc.",1,1498523.0,2,1498523.0
LEAF GLOBAL FINTECH CORPORATION,1,855394.0,2,855394.0
TYFAST ENERGY CORP.,2,1190823.0,1,595411.5
NANOXORT LLC,2,1255676.0,3,627838.0
COMPLETIONAI LLC,2,1237773.0,1,618886.5
Startle Innovation LLC,2,1236015.0,2,618007.5
FAS HOLDINGS GROUP,1,708030.0,1,708030.0
Florida Agricultural and Mechanical University,2,1050000.0,6,525000.0
"Associated Universities, Inc.",1,249995.0,2,249995.0
Aerodyne Microsystems Inc.,1,694631.0,2,694631.0
INFINID LEARNING LLC,1,750000.0,1,750000.0
FEEL WITH ME LLC,1,187378.0,2,187378.0
Andluca Technologies Inc.,1,995038.0,1,995038.0
"SEETRUE TECHNOLOGY, LLC",1,225000.0,1,225000.0
Chapman University,2,136752.0,3,68376.0
"EMPALLO, INC.",1,275000.0,1,275000.0
West Virginia University Research Corporation,11,3135583.0,15,285053.0
Dimien Inc.,1,991169.0,2,991169.0
"QCML LABS, LLC",1,256000.0,2,256000.0
"RYP LABS, INC.",2,1251335.0,3,625667.5
BENANOVA Inc,3,1656000.0,3,552000.0
MINERALOGIC LLC,2,1253547.0,1,626773.5
"QDIR, INC.",1,256000.0,1,256000.0
"KALEIDO, INC.",1,255997.0,1,255997.0
"SELIGHT, LLC",1,304733.0,2,304733.0
JSTOR,1,49110.0,2,49110.0
S2A TECHNOLOGIES LLC,2,1248746.0,3,624373.0
Access Sensor Technologies,1,256000.0,2,256000.0
"NOVOCLADE, INC.",1,971941.0,1,971941.0
Advanced Hydrogen Technologies Corporation,1,750000.0,1,750000.0
BLINXEL LLC,1,256000.0,1,256000.0
BlackBerry Corporation,1,747652.0,3,747652.0
"DYNAMIC ENTROPY TECHNOLOGY, LLC",1,256000.0,3,256000.0
TECTARIA BIO LLC,1,275000.0,1,275000.0
AEPNUS TECHNOLOGY INC,1,274986.0,1,274986.0
University of South Carolina at Columbia,6,2798013.0,14,466335.5
Bigelow Laboratory for Ocean Sciences,2,5649122.0,4,2824561.0
"TENDER FOOD, INC",2,1253986.0,2,626993.0
DESERT VALLEY TECH INC.,1,256000.0,2,256000.0
Georgia College,1,399904.0,3,399904.0
"EXCIPLEX, INC.",1,256000.0,1,256000.0
"CONNECT DYNAMICS, INC.",2,1254217.0,1,627108.5
Saint Mary's University of Minnesota,1,394470.0,1,394470.0
"YERBA BUENA VR, INC.",2,1253762.0,2,626881.0
"FLOW RAIDER, LLC",1,255864.0,1,255864.0
"BLOCKALYTICS, LLC",1,255837.0,1,255837.0
"CROSSLINK COMPOSITES, INC.",1,987861.0,1,987861.0
Kentucky State University,1,400000.0,4,400000.0
"CLARIA MEDICAL, INC.",2,1256000.0,1,628000.0
Wake Forest University School of Medicine,3,15099993.0,4,5033331.0
OPAL AI INC.,1,256000.0,1,256000.0
"LYDIAN LABS, INC.",1,274042.0,1,274042.0
University of North Texas,4,1349650.0,5,337412.5
East Carolina University,5,943957.0,14,188791.4
GEMINATIO,1,275000.0,1,275000.0
"MODULAR MATTER, INC.",1,256000.0,1,256000.0
DMC Limited,1,600000.0,2,600000.0
UNIGRID INC.,2,1234693.0,1,617346.5
Western Michigan University,5,949850.0,7,189970.0
"VALCON LABS, INC.",1,274944.0,2,274944.0
LangInnov,1,898537.0,1,898537.0
Sentinel Environmental Group LLC,1,999891.0,1,999891.0
"ASPERO MEDICAL, INC.",1,999934.0,1,999934.0
ZS SYSTEMS LLC,2,1256000.0,1,628000.0
MedChem Partners LLC,1,256000.0,2,256000.0
ADA TECH LLC,1,275000.0,2,275000.0
WAIHOME LLC,2,1252717.0,1,626358.5
SUNCHEM LLC,1,256000.0,1,256000.0
GENALPHA NUCLEAR TECHNOLOGIES LLC,1,275000.0,1,275000.0
"SIMPLYVITAL HEALTH, INC.",1,989853.0,2,989853.0
"NOVEL FARMS, INC.",2,1255967.0,1,627983.5
University of Alabama at Birmingham,3,598795.0,5,199598.33333333334
"ETHOS MEDICAL, INC.",1,1000000.0,1,1000000.0
"JULIAN C. MADISON BUILDING LLC, THE",1,300000.0,2,300000.0
COSINE CORP,1,304975.0,1,304975.0
ROTOHEATER LLC,1,256657.0,1,256657.0
"3VO MEDICAL, INC",1,304452.0,1,304452.0
"BENCHMARK LABS, INC.",1,256000.0,1,256000.0
SKROOT LABORATORY INC.,1,999905.0,1,999905.0
University of North Dakota Main Campus,3,1092699.0,4,364233.0
"PSEUDOLITHIC, LLC",2,1251056.0,3,625528.0
YONA CARE LLC,1,305000.0,1,305000.0
PARTILLION BIOSCIENCE CORPORATION,1,255916.0,1,255916.0
Nanopath Inc.,2,1253655.0,1,626827.5
Cognitive ToyBox,1,964915.0,1,964915.0
Chippewa Valley Technical College,1,778768.0,4,778768.0
Beta Hatch Inc,1,630632.0,1,630632.0
"EMVOLON, INC.",1,1000000.0,1,1000000.0
Princeton University,13,20243102.0,26,1557161.6923076923
"PSYONIC, Inc.",2,1739302.0,1,869651.0
LEGOV SYSTEMS GROUP LLC,1,225000.0,1,225000.0
VARIABLES MACHINES COMPANY,1,274579.0,1,274579.0
"BEAMLINK, INC.",2,1250860.0,1,625430.0
DARCY SOLUTIONS INC.,1,995074.0,2,995074.0
Cleveland State Community College,1,298289.0,1,298289.0
"GelSight, Inc",1,728732.0,1,728732.0
SIMMBION LLC,2,1255136.0,4,627568.0
VIVIFI MEDICAL LLC,2,1256000.0,1,628000.0
"FC RENEW, LLC",2,1524999.0,1,762499.5
"Elloveo, Inc",1,739510.0,1,739510.0
"GALAXY THERAPEUTICS, LLC",1,256000.0,1,256000.0
TANGIBLE ROBOTICS INC,1,1554195.0,1,1554195.0
Longwood University,1,400000.0,1,400000.0
"SAKURA SOFTWARE SOLUTIONS, LLC",1,274880.0,1,274880.0
"CACTUS MEDICAL,LLC",1,1000000.0,1,1000000.0
Microgrid Labs Inc.,1,750000.0,1,750000.0
CELLECHO INC,1,305000.0,1,305000.0
FLUX MARINE LTD,1,255684.0,1,255684.0
Regents of the University of Michigan - Flint,4,1249156.0,5,312289.0
"PURAFIDE, LLC",2,1255940.0,1,627970.0
"MVMNT-X, INC.",1,275000.0,1,275000.0
"PlayPosit, Inc.",1,749999.0,1,749999.0
NEXGEN CANCER DETECTION LLC,2,1525000.0,1,762500.0
Columbus State Community College,1,400000.0,2,400000.0
Delaware State University,1,50000.0,1,50000.0
MOLECULAR SURFACE TECHNOLOGIES LLC,1,255862.0,1,255862.0
SOLVUS GLOBAL LLC,1,992485.0,2,992485.0
"SPACERAKE, INC.",1,274120.0,1,274120.0
Auburn University,4,1066334.0,7,266583.5
AGRAFILMS INC,1,254030.0,2,254030.0
"WYONANO, LLC",1,256000.0,2,256000.0
BIOSAPIEN INC.,1,256000.0,1,256000.0
alpha-En Corporation,1,255737.0,3,255737.0
"TOPOLIGHT, INC.",1,305000.0,1,305000.0
Rochester Institute of Tech,6,3331841.0,20,555306.8333333334
"Mobius Labs, Inc",1,749980.0,1,749980.0
Woods Hole Oceanographic Institution,3,6028403.0,9,2009467.6666666667
"COOLAIMATE, INC",1,304913.0,1,304913.0
"1442 S. FALLON STREET, LLC",1,255997.0,1,255997.0
MECHASIM INC.,1,224761.0,2,224761.0
"Precast Systems Engineering, LLC",1,274956.0,2,274956.0
TPL LLC,1,275000.0,1,275000.0
"ROCA WATER, INC.",1,1000000.0,1,1000000.0
"MOTMOT, INC.",1,1555000.0,1,1555000.0
"ADEPT MATERIALS, INC",2,1519177.0,1,759588.5
"BEZOAR LABORATORIES, LLC",1,225000.0,1,225000.0
University of Central Oklahoma,4,520000.0,4,130000.0
BEYOND THE DOME INC,1,999757.0,1,999757.0
"TAURUS DIAGNOSTICS, INC",1,256000.0,1,256000.0
The Texas A&M University System HSC,2,100000.0,3,50000.0
Southern Utah University,1,375000.0,5,375000.0
"PARADIGM OF NY, LLC",1,256000.0,1,256000.0
"EXIGENT SOLUTIONS, INC.",2,1443925.0,1,721962.5
"Bioinfoexperts, LLC",1,735056.0,1,735056.0
"MAP-COLLECTIVE, INC.",2,1181833.0,1,590916.5
OXBYEL TECHNOLOGIES INC.,2,1254905.0,1,627452.5
"INTERMIX PERFORMANCE MATERIALS, INC.",1,256000.0,2,256000.0
"CEREVU MEDICAL, INC.",1,1000000.0,2,1000000.0
"2KR SYSTEMS, LLC",2,1256000.0,1,628000.0
"TEARDX, LLC",1,275000.0,1,275000.0
ENCOORD INC,1,274375.0,1,274375.0
"US Ignite, Inc.",1,3921993.0,1,3921993.0
"KENAI DESIGN, LLC",1,256000.0,1,256000.0
"SPECTACULAR LABS, INC.",1,275000.0,2,275000.0
Shawnee State University,1,399944.0,2,399944.0
"Shark Wheel, Inc.",1,724313.0,1,724313.0
Teledyne FLIR Detection,2,5649431.0,3,2824715.5
"Ferric Contrast, Inc.",1,749917.0,2,749917.0
SOFI TEC LLC,1,256000.0,2,256000.0
SENSEER HEALTH INC.,1,999142.0,1,999142.0
"AVALANCHE ENERGY DESIGNS, INC.",1,274890.0,1,274890.0
"Codelucida, Inc.",1,750000.0,1,750000.0
NUMOOLA LLC,1,256000.0,2,256000.0
"HEAT INVERSE, LLC",2,1225000.0,1,612500.0
MFM LLC,1,982208.0,1,982208.0
Roanoke College,1,399406.0,2,399406.0
TERRAGIA BIOFUEL INC,1,256000.0,1,256000.0
California State L A University Auxiliary Services Inc.,2,250000.0,3,125000.0
"WINDWARD ENGINEERING, L.C.",1,272019.0,1,272019.0
MALCOVA INC,1,1000000.0,1,1000000.0
STERILE GEEKS VR INC,1,254718.0,1,254718.0
University of Arkansas Little Rock,5,250000.0,6,50000.0
"HAIRDAYS, INC.",2,1506000.0,1,753000.0
CIRCULATECH LLC,1,256000.0,2,256000.0
"ENDURACURE, LLC",1,305000.0,2,305000.0
NEYROBLASTGX LLC,1,255997.0,1,255997.0
"SEA-GAL TECHNOLOGIES, INC.",1,304999.0,1,304999.0
"Azimuth1, LLC",1,750000.0,1,750000.0
Silvis Materials,2,1255333.0,1,627666.5
"BIOMESENSE, INC.",1,976771.0,1,976771.0
ORION THERAPEUTICS INC.,2,1524673.0,2,762336.5
L5 AUTOMATION INC.,1,275000.0,1,275000.0
"LIFELAB STUDIOS, INC.",2,1524033.0,1,762016.5
"SABER THERAPEUTICS, INC.",1,274991.0,1,274991.0
"RESILIENT LIFESCIENCE, INC",1,274964.0,1,274964.0
Kennesaw State University Research and Service Foundation,1,50000.0,1,50000.0
ACLARITY INC.,1,1000000.0,1,1000000.0
Anaflash Inc.,1,750000.0,1,750000.0
IBM Corporation (through Almaden Research Center),2,2735454.8,2,1367727.4
GELASTOMERICS LLC,1,305000.0,2,305000.0
SURGIVANCE INC.,1,256000.0,2,256000.0
"Therapeutic Articulations, LLC",1,750000.0,1,750000.0
"AVANPORE, LLC",1,275000.0,1,275000.0
"NISTRON, L.L.C.",1,225000.0,5,225000.0
ALCHEMY COATINGS INC,1,304950.0,2,304950.0
Trustees of Boston University,7,1049991.0,5,149998.7142857143
IVSONANCE BIOMEDICAL INC,1,305000.0,1,305000.0
"COLOWRAP, LLC",1,255801.0,1,255801.0
FLOBIO LLC,1,256000.0,2,256000.0
iTherapy LLC,1,1000000.0,1,1000000.0
VIRIDIAN SPACE CORPORATION,1,274951.0,1,274951.0
"JUNIPERO THERAPEUTICS, INC.",1,305000.0,1,305000.0
